# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,9.991649471146551997e-01,1.631807812786535347e-02,1.377055640277064733e-03,9.461352384334151111e+01,1.074250314662904060e+01,1.053560269899705446e+02,-6.756308005439966280e+01,2.941571770177301914e+02,3.951320400770069341e+01
3.652500000000000000e+05,9.991414081677826298e-01,1.582761514241792095e-02,1.302094768143134962e-01,1.717693551979178892e+02,2.968764987150276511e+02,1.086458539129455687e+02,2.315046633150123156e+01,2.244512383470105732e+01,1.310909777476466331e+02
7.305000000000000000e+05,9.991483065783888229e-01,1.540569046975301740e-02,2.580540279722811081e-01,1.696765049068591793e+02,3.022982108651689828e+02,1.119747157720282473e+02,1.123340646625337627e+02,1.106939908650079047e+02,2.226687066370361663e+02
1.095750000000000000e+06,9.991412460823362318e-01,1.496195982148885995e-02,3.836759537135416842e-01,1.673728985722310654e+02,3.081282391410255173e+02,1.155011377132565684e+02,-1.618008429512314024e+02,1.987403968363188085e+02,3.142415345495753627e+02
1.461000000000000000e+06,9.991528739176739338e-01,1.441853215776649731e-02,5.068092834095095922e-01,1.650339545026896246e+02,3.136371864656335333e+02,1.186711409683231011e+02,-7.444160865012185013e+01,2.871454354835610161e+02,4.581657645188414563e+01
1.826250000000000000e+06,9.991380007755995551e-01,1.388675933065741143e-02,6.273065858870697786e-01,1.626918296138882454e+02,3.193163856778093077e+02,1.220082152916975531e+02,1.581169279270826600e+01,1.538240709206231216e+01,1.373906223837598759e+02
2.191500000000000000e+06,9.991528457138029173e-01,1.335756100414611965e-02,7.449856980195098677e-01,1.603242896680648641e+02,3.254957648710571902e+02,1.258200545391221112e+02,1.046285429152993345e+02,1.031437837133063340e+02,2.289638382524284168e+02
2.556750000000000000e+06,9.991674171124051984e-01,1.275941495870802633e-02,8.594426788327262923e-01,1.579568716323683475e+02,3.313556033650166910e+02,1.293124749973850101e+02,-1.690582045031426048e+02,1.912219524995907420e+02,3.205344274969757521e+02
2.922000000000000000e+06,9.991705572180235029e-01,1.223179502451486080e-02,9.708234838033589220e-01,1.555947003999260119e+02,3.369720402639349004e+02,1.325667406638609407e+02,-8.184334984548782188e+01,2.795422935472141717e+02,5.210903421107510525e+01
3.287250000000000000e+06,9.991523306167423568e-01,1.163063926607167849e-02,1.078688809134837223e+00,1.532327452257962648e+02,3.432562555937463458e+02,1.364890008195426674e+02,7.358917439843643216e+00,7.189675485077309247e+00,1.436786763046199553e+02
3.652500000000000000e+06,9.991473099810583847e-01,1.096539905889822725e-02,1.183112546366892559e+00,1.508745211596882143e+02,3.493662843909886533e+02,1.402408055506768960e+02,9.625667273968183224e+01,9.500651933869058041e+01,2.352473248893674906e+02
4.017750000000000000e+06,9.991573925023151670e-01,1.039261328139618086e-02,1.283961401774543098e+00,1.485098848816599286e+02,3.556114125898554335e+02,1.441212974715153621e+02,-1.773604645801777906e+02,1.826948093610791375e+02,3.268161068325944711e+02
4.383000000000000000e+06,9.991539227786665478e-01,9.822388985557007138e-03,1.381013230202786435e+00,1.461410809309612375e+02,1.950192871667207006e+00,1.480912738026284785e+02,-9.082874766418221668e+01,2.702967992947474727e+02,5.838807309737593698e+01
4.748250000000000000e+06,9.991355562340218377e-01,9.110655446894598206e-03,1.474102193824305518e+00,1.437757748257182868e+02,8.392530597106025780e+00,1.521683054228243179e+02,-2.256628663582127547e+00,3.577842004581749507e+02,1.499525058809992970e+02
