# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,5.202531879488377697e+00,4.885162093631421898e-02,1.303753732324588022e+00,1.005153434534076666e+02,2.739056627226278238e+02,1.442100617603548507e+01,5.377073385043008358e+01,4.935215220349599718e+01,6.377315837953148758e+01
3.652500000000000000e+05,5.203969621905299547e+00,4.919820043271785209e-02,1.287745617726279601e+00,1.023554225853246891e+02,2.744996001003898982e+02,1.685502268571454110e+01,1.605731770116238124e+02,1.586307981732503549e+02,1.754858208589648996e+02
7.305000000000000000e+05,5.201874787648328891e+00,5.179577360594708746e-02,1.277162628769082042e+00,1.043698091135054824e+02,2.748563866534178146e+02,1.922619576692325083e+01,-9.805266280799288836e+01,2.678537091620170827e+02,2.870799049289403229e+02
1.095750000000000000e+06,5.202120352839331829e+00,5.239692384195618335e-02,1.275429269127864140e+00,1.063883802808820036e+02,2.745655153738456988e+02,2.095389565472769178e+01,1.979710063699921463e+01,1.783644500705161562e+01,3.879034066177931095e+01
1.461000000000000000e+06,5.202955155288043976e+00,5.407375597895583419e-02,1.280220252800810865e+00,1.084371094770480255e+02,2.760265496643348797e+02,2.446365914138287678e+01,1.306794972563341162e+02,1.258544892808465931e+02,1.503181484222294557e+02
1.826250000000000000e+06,5.202556506335317188e+00,5.510800163362630094e-02,1.293088409604033373e+00,1.103963216181967795e+02,2.755483822724945071e+02,2.594470389069129723e+01,-1.288940204601031780e+02,2.361499431929980233e+02,2.620946470836893241e+02
2.191500000000000000e+06,5.201983885065383895e+00,5.523491940560428665e-02,1.312027492108450266e+00,1.122104165301230125e+02,2.772032087667219571e+02,2.941362529684494476e+01,-1.755594672932382139e+01,3.442802909856666815e+02,1.369391628251160142e+01
2.556750000000000000e+06,5.201304895895550118e+00,5.740549981226781423e-02,1.338480928206257303e+00,1.138939293417456469e+02,2.773918337553801052e+02,3.128576309712574499e+01,1.005699086264111628e+02,9.405538530985903378e+01,1.253411484069848001e+02
2.922000000000000000e+06,5.202801032289656291e+00,5.692754958691587097e-02,1.369574865113273754e+00,1.152999027842015778e+02,2.790050661223992847e+02,3.430496890660088383e+01,-1.596841288665395666e+02,2.026746861407267772e+02,2.369796550473276682e+02
3.287250000000000000e+06,5.201965976487546328e+00,5.894001161749563844e-02,1.405582118799349800e+00,1.165273090078925264e+02,2.810238615859918809e+02,3.755117059388441447e+01,-5.426862415242240445e+01,3.110736533592728961e+02,3.486248239531573176e+02
3.652500000000000000e+06,5.202137699267805004e+00,5.824208826408472373e-02,1.444970658431163901e+00,1.174504573164531820e+02,2.820112508363677648e+02,3.946170815282094679e+01,6.685813435312736885e+01,6.082775438791690448e+01,1.002894625407378442e+02
4.017750000000000000e+06,5.202059198031504295e+00,5.949740051015293268e-02,1.486526103782342290e+00,1.181538104575109145e+02,2.852324992938565060e+02,4.338630975136739920e+01,1.697415053171492048e+02,1.684718255137072163e+02,2.118581352650746226e+02
4.383000000000000000e+06,5.203425693711504429e+00,5.957400919485936891e-02,1.530070696276096154e+00,1.185405481584806324e+02,2.864051165481608905e+02,4.494566470664155133e+01,-8.815120285784419707e+01,2.786580740512808347e+02,3.236037387579223719e+02
4.748250000000000000e+06,5.202138178071290753e+00,5.947736529592850124e-02,1.574467893360204984e+00,1.187161971637537761e+02,2.904597867580343404e+02,4.917598392178811650e+01,2.918598418667913563e+01,2.598797273540415986e+01,7.516395665719227281e+01
5.113500000000000000e+06,5.201416615768448715e+00,6.006706233727604483e-02,1.619539810814758507e+00,1.186373444496302056e+02,2.925798457464225635e+02,5.121719019605275491e+01,1.402195247607398016e+02,1.356591142352968689e+02,1.868763044313496096e+02
5.478750000000000000e+06,5.202850063447858275e+00,5.886216660755674845e-02,1.664616257895588314e+00,1.183347836395227546e+02,2.963056286750062895e+02,5.464041231452902991e+01,-1.220389941647683827e+02,2.438130601990144726e+02,2.984534725135434883e+02
5.844000000000000000e+06,5.202314373175539686e+00,5.953375442866537526e-02,1.709166061305690487e+00,1.178789154201168543e+02,2.994447243187127015e+02,5.732363973882957708e+01,-8.079759586509744906e+00,3.528382772105548497e+02,5.016191694938445522e+01
6.209250000000000000e+06,5.201883564898946766e+00,5.834958908851926862e-02,1.751543116528782695e+00,1.172569932425486456e+02,3.021079386836282197e+02,5.936493192617686532e+01,1.089455110585608395e+02,1.025336293970004675e+02,1.618985613231773186e+02
