# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,1.523672407668134943e+00,9.331342177533476223e-02,1.848702293768736071e+00,4.952506993051874673e+01,2.865336159786588155e+02,3.360586859091775409e+02,-5.290763965035563388e+01,3.152671749887570627e+02,2.913258608979346604e+02
3.652500000000000000e+05,1.523782646121725648e+00,9.426886732500855404e-02,1.764921187697747085e+00,4.650317832365029602e+01,2.940314717514228278e+02,3.405346500750731025e+02,-1.685175364012806938e+02,1.937917151544580179e+02,1.743263652295311772e+02
7.305000000000000000e+05,1.523684342784193291e+00,9.507020680121823497e-02,1.676279161487405522e+00,4.335005204063408257e+01,3.015799567774092225e+02,3.449300088180433477e+02,8.309763650598056017e+01,7.239020247877900260e+01,5.732021129682232896e+01
1.095750000000000000e+06,1.523673856171265273e+00,9.593155647912253448e-02,1.583071044811954042e+00,4.002973420973943774e+01,3.092566441873065628e+02,3.492863783970459508e+02,-5.793190484239259774e+01,3.110297076513403454e+02,3.003160860483862393e+02
1.461000000000000000e+06,1.523742552116212012e+00,9.689151186878180999e-02,1.484685799066740808e+00,3.650077461931403633e+01,3.171104463506293882e+02,3.536112209699434175e+02,-1.719821718052085373e+02,1.896856469188532799e+02,1.832968678887966405e+02
1.826250000000000000e+06,1.523742745326326142e+00,9.767718003836688145e-02,1.381202843937197056e+00,3.274628419219231290e+01,3.252453810818807938e+02,3.579916652740731706e+02,7.913907265588879625e+01,6.831303279235243053e+01,6.630469806642560116e+01
2.191500000000000000e+06,1.523625142594870363e+00,9.847313987880744468e-02,1.273216340533663837e+00,2.866620640764498518e+01,3.335993474878620759e+02,2.265553895507062876e+00,-6.265159223247970033e+01,3.070289741506587688e+02,3.092945280461657944e+02
2.556750000000000000e+06,1.523605016322647554e+00,9.931805368652556198e-02,1.160177623938063007e+00,2.416120942130759985e+01,3.423114816759016890e+02,6.472691097209286148e+00,-1.752116068588126154e+02,1.858140355135355151e+02,1.922867266107448074e+02
2.922000000000000000e+06,1.523716061601921856e+00,1.000557213299517190e-01,1.043219087056010075e+00,1.910177672383386493e+01,3.516618351926799733e+02,1.076361191651382399e+01,7.539327439509334283e+01,6.452169564982628458e+01,7.528530756634010856e+01
3.287250000000000000e+06,1.523678296488625739e+00,1.007279427946148470e-01,9.236636272959529714e-01,1.318382835380354656e+01,1.747754060560565037e+00,1.493158241436410982e+01,-6.692971790649319530e+01,3.033687810695917619e+02,3.183003634839558913e+02
3.652500000000000000e+06,1.523609383214722834e+00,1.013977567012582792e-01,8.029228808985506838e-01,6.032656820678427678e+00,1.305401446641599961e+01,1.908667128709442906e+01,-1.781925050888830526e+02,1.822039074857081289e+02,2.012905787728025473e+02
4.017750000000000000e+06,1.523620559032699662e+00,1.020914498539398918e-01,6.848414077669968680e-01,-2.990572079032641550e+00,2.628702229598310325e+01,2.329645021695046125e+01,7.183461906524537710e+01,6.099558807430167917e+01,8.429203829125215464e+01
4.383000000000000000e+06,1.523756942209665066e+00,1.025508977537396837e-01,5.757902371599410429e-01,-1.500294877256030901e+01,4.245528210799486146e+01,2.745233333543455601e+01,-7.098018343710424460e+01,2.998404722052117677e+02,3.272928055406463272e+02
4.748250000000000000e+06,1.523678978295444075e+00,1.030673044622796852e-01,4.867581685421645821e-01,-3.139424780974144369e+01,6.302062623391633878e+01,3.162637842417489864e+01,1.789165498402052208e+02,1.786746637397390316e+02,2.103010421639139338e+02
5.113500000000000000e+06,1.523621395022723535e+00,1.036422625548470283e-01,4.361623671979213412e-01,-5.285026665257971956e+01,8.860048127710761889e+01,3.575021462452790644e+01,6.824972072088895914e+01,5.754493979433407702e+01,9.329515441886196925e+01
5.478750000000000000e+06,1.523721217311341247e+00,1.039696905084846884e-01,4.421264958002958934e-01,-7.689487013250885639e+01,1.168809842500423457e+02,3.998611411753348932e+01,-7.495319702654529692e+01,2.963047555118656646e+02,3.362908696293991397e+02
5.844000000000000000e+06,1.523746575776261825e+00,1.043917311223122452e-01,5.051681118557711514e-01,-9.827003112897753567e+01,1.423920261588842777e+02,4.412199502990673494e+01,1.760624640892038428e+02,1.751719635636864325e+02,2.192939585935931746e+02
6.209250000000000000e+06,1.523667173662665686e+00,1.047274145722666000e-01,6.100082855659652026e-01,-1.145349321365018795e+02,1.628052820020283491e+02,4.827034986552647666e+01,6.449042470533798621e+01,5.403062505070740684e+01,1.023009749162338835e+02
6.574500000000000000e+06,1.523652779827578296e+00,1.050809341082349635e-01,7.402414145699320880e-01,-1.265959925166827276e+02,1.791510897353988696e+02,5.255509721871614914e+01,-7.889203525837446307e+01,2.927262352417016587e+02,3.452813324604177865e+02
6.939750000000000000e+06,1.523716053079662069e+00,1.052263187930409377e-01,8.840236837717931895e-01,-1.358437492650490128e+02,1.925480963405856301e+02,5.670434707553661724e+01,1.731429857986576621e+02,1.715819455689557458e+02,2.282862926444923914e+02
