# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,3.870986061166917236e-01,2.056351166266206509e-01,7.004242519438627745e+00,4.831492797172773379e+01,2.916104514197093067e+01,7.747597311369867157e+01,-1.097229877212636211e+02,2.735187468083501017e+02,3.509947199220487732e+02
3.652500000000000000e+05,3.870995473111729090e-01,2.058223231933250241e-01,6.944802311964950903e+00,4.705017606708443623e+01,3.189482090792359514e+01,7.894499697500802426e+01,-1.045890766427672247e+02,2.789942347177802731e+02,3.579392316927882689e+02
7.305000000000000000e+05,3.870984912872274530e-01,2.060353353194989134e-01,6.885835161130830606e+00,4.576917261615120935e+01,3.464504245179853825e+01,8.041421506794975471e+01,-9.926486306945658100e+01,2.844620544993122166e+02,4.876269567261985571e+00
1.095750000000000000e+06,3.870987412436435737e-01,2.062152596072014676e-01,6.827553138890859685e+00,4.446707169015903816e+01,3.740978006742670914e+01,8.187685175758574019e+01,-9.371000059983960284e+01,2.899390543348839628e+02,1.181590609246968882e+01
1.461000000000000000e+06,3.870986422209117261e-01,2.063920913969389259e-01,6.770064645126200098e+00,4.314595768301529688e+01,4.019344656040639308e+01,8.333940424342168285e+01,-8.792038361794691070e+01,2.954154677627737442e+02,1.875487200619544836e+01
1.826250000000000000e+06,3.870979216679376611e-01,2.065809939062705491e-01,6.713687042510473546e+00,4.180437714093235257e+01,4.299472327320859222e+01,8.479910041414093769e+01,-8.188252644546012959e+01,3.008905397785306945e+02,2.568964019267167487e+01
2.191500000000000000e+06,3.870987228788082546e-01,2.067248223769337645e-01,6.658616320526965282e+00,4.043951859615120270e+01,4.581246032971387194e+01,8.625197892586507464e+01,-7.555809066603889335e+01,3.063786030438012631e+02,3.263058196966633062e+01
2.556750000000000000e+06,3.870974305486654665e-01,2.068873455774132564e-01,6.604791729628606944e+00,3.905234129460238535e+01,4.865807656289850769e+01,8.771041785750088593e+01,-6.897520856819021162e+01,3.118515072697013579e+02,3.956192512720222254e+01
2.922000000000000000e+06,3.870986404801229908e-01,2.070232263923984239e-01,6.552801833953290078e+00,3.764262563570418507e+01,5.151309551622716043e+01,8.915572115193134550e+01,-6.207432005756537308e+01,3.173468364419582031e+02,4.650255759388952015e+01
3.287250000000000000e+06,3.870973160792648415e-01,2.071481906241254833e-01,6.502378014774594206e+00,3.620708529051897528e+01,5.440012232015922677e+01,9.060720761067820206e+01,-5.489978509350133606e+01,3.228281161006287334e+02,5.343532371130692127e+01
3.652500000000000000e+06,3.870981595226118954e-01,2.072660942206295542e-01,6.453897959362429937e+00,3.474774715557038007e+01,5.730539383437880474e+01,9.205314098994918481e+01,-4.742646706062716078e+01,3.283184930736715614e+02,6.037163406362077467e+01
4.017750000000000000e+06,3.870976285129367755e-01,2.073633756949581908e-01,6.407586494378591624e+00,3.326321583533461279e+01,6.022788019949447147e+01,9.349109603482908426e+01,-3.966594831353043560e+01,3.338173932513764157e+02,6.730848928620548577e+01
4.383000000000000000e+06,3.870979014930630568e-01,2.074502639400177539e-01,6.363257624410213253e+00,3.175167869058899939e+01,6.318656820166386012e+01,9.493824689225287727e+01,-3.167400172989265172e+01,3.393031408581020401e+02,7.424138775035490312e+01
4.748250000000000000e+06,3.870980938551137340e-01,2.075240877498549241e-01,6.321408769589585752e+00,3.021601402208171905e+01,6.615344145374872653e+01,9.636945547583043492e+01,-2.343289813928348764e+01,3.448114093996887277e+02,8.118086487551917685e+01
5.113500000000000000e+06,3.870976267125756931e-01,2.075701048570325613e-01,6.281973538479237895e+00,2.865236113858614786e+01,6.915532858678730577e+01,9.780768972537345007e+01,-1.504220233565960108e+01,3.503058112784219702e+02,8.811350100379543449e+01
5.478750000000000000e+06,3.870984818980714448e-01,2.076125008205053912e-01,6.245022966658761554e+00,2.706326441792461068e+01,7.217789897245687314e+01,9.924116339038147316e+01,-6.520132961872783461e+00,3.558118582997103090e+02,9.505302169009176794e+01
5.844000000000000000e+06,3.870975731379429630e-01,2.076319362580258121e-01,6.210840173844631273e+00,2.544840451355802458e+01,7.522161288174486060e+01,1.006700173953028923e+02,2.054617246244609063e+00,1.318821703295996350e+00,1.019888390985988877e+02
6.209250000000000000e+06,3.870984413857726514e-01,2.076188837622490735e-01,6.179434415337776265e+00,2.380624791267523932e+01,7.829794821547120875e+01,1.021041961281464552e+02,1.060763297498743540e+01,6.821937817719718744e+00,1.089261339458661695e+02
6.574500000000000000e+06,3.870975810343331713e-01,2.076279466186252143e-01,6.150804499519236579e+00,2.214120547506169956e+01,8.138702732445148058e+01,1.035282327995131766e+02,1.910229814140572557e+01,1.233896882081940660e+01,1.158672016203325796e+02
6.939750000000000000e+06,3.870981227065873331e-01,2.075701665532463658e-01,6.125339780492321751e+00,2.044955138052674926e+01,8.451031176101152198e+01,1.049598631415382783e+02,2.743418088836235569e+01,1.784348460258039282e+01,1.228033477441186818e+02
7.305000000000000000e+06,3.870978655612669628e-01,2.075344914501169868e-01,6.102777439089019040e+00,1.873532082322363124e+01,8.764968613833059408e+01,1.063850069615542253e+02,3.559591816367456829e+01,2.336232529700273730e+01,1.297473322585569520e+02
7.670250000000000000e+06,3.870977235156206064e-01,2.074682220284410905e-01,6.083395839571317687e+00,1.699968312358953426e+01,9.080998338034839890e+01,1.078096665039379332e+02,4.351423724910445401e+01,2.887646453288381920e+01,1.366861310368217630e+02
8.035500000000000000e+06,3.870982232977946969e-01,2.073704321397012162e-01,6.067319455286188656e+00,1.524274062920291506e+01,9.399286517697055388e+01,1.092356058061734672e+02,5.117224781508399900e+01,3.439567695640287326e+01,1.436312827625763191e+02
8.400750000000000000e+06,3.870974047087985537e-01,2.072872657902874449e-01,6.054290827508485684e+00,1.346636029734283291e+01,9.719499275190165122e+01,1.106613530492444823e+02,5.854574327762487940e+01,3.991317895762153256e+01,1.505745320068660078e+02
8.766000000000000000e+06,3.870983946264144326e-01,2.071435847248965512e-01,6.044680628160032931e+00,1.167514602479624131e+01,1.004074665415405718e+02,1.120826125663368202e+02,6.562780351827225900e+01,4.543678880960490574e+01,1.575194013759417260e+02
9.131250000000000000e+06,3.870976570714492748e-01,2.070247950528875114e-01,6.038246316775019551e+00,9.867272890110392325e+00,1.036444725880892577e+02,1.135117454781996429e+02,7.241518212336674765e+01,5.095744963950576079e+01,1.644691951177053966e+02
9.496500000000000000e+06,3.870983306830208526e-01,2.068582584179347317e-01,6.034984693567707836e+00,8.048330949493150754e+00,1.068857666717323980e+02,1.149340976212255470e+02,7.891177150540231366e+01,5.648027431680530697e+01,1.714143719380308539e+02
