# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,3.009847637173522017e+01,1.079108837061300459e-02,1.765809678198754229e+00,1.317385801735109396e+02,2.718045429863759068e+02,4.354312315988683935e+01,-7.157026887130639636e+01,2.895998625418548045e+02,3.331429857017416793e+02
3.652500000000000000e+05,2.995334612918857786e+01,7.533663034468227222e-03,1.769922277262399257e+00,1.317463609772499922e+02,2.967192909462488046e+02,6.846565192349882523e+01,-7.334028990606059040e+01,2.874854219846343426e+02,3.559510739081331963e+02
7.305000000000000000e+05,3.007300956283027560e+01,8.605347473976471956e-03,1.770673519784918604e+00,1.315708906860578793e+02,2.675895469120424082e+02,3.916043759810028746e+01,-2.024460024367141031e+01,3.400945630167319109e+02,1.925500061483220904e+01
1.095750000000000000e+06,3.025605744115559759e+01,1.491576046396928847e-02,1.773146631108274640e+00,1.315117590206037050e+02,2.764366938158298126e+02,4.794845283643352474e+01,-4.055333199231575314e+00,3.560642069299786385e+02,4.401265976641217037e+01
1.461000000000000000e+06,3.015013208763537023e+01,1.054348923574764153e-02,1.774648166157062112e+00,1.315276755070733827e+02,2.919187063442347494e+02,6.344638185130811792e+01,5.330397952202966749e+00,5.219035639068920318e+00,6.866541749037703823e+01
1.826250000000000000e+06,3.002304610919718186e+01,8.096331818346949247e-03,1.778463922135656405e+00,1.314334311295974373e+02,2.647621260068075344e+02,3.619555713640498595e+01,5.641733625767322025e+01,5.564701471524779208e+01,9.184257185165277804e+01
2.191500000000000000e+06,3.012251985792362063e+01,1.260209301625999333e-02,1.782279693041593838e+00,1.313053510653039098e+02,2.804523657624196744e+02,5.175771682772359128e+01,6.417512814297340640e+01,6.288061681572077788e+01,1.146383336434443692e+02
2.556750000000000000e+06,3.026823136565147010e+01,1.209749397236293232e-02,1.782922994066407751e+00,1.312759613895148050e+02,3.109166023397639833e+02,8.219256372927880250e+01,5.798557790063048856e+01,5.681578886732700084e+01,1.390083525966057891e+02
2.922000000000000000e+06,3.014202810500427887e+01,6.943502200829686048e-03,1.785252557380271554e+00,1.312292097723906465e+02,2.904240560259259496e+02,6.165326579831662457e+01,1.029828118170143512e+02,1.022065821982023692e+02,1.638598479965189938e+02
3.287250000000000000e+06,2.994713562339937596e+01,1.293273448839141367e-02,1.789409744406779579e+00,1.312142925658303625e+02,2.597771593939033323e+02,3.099145195973366640e+01,1.571640501365473597e+02,1.565837215826300053e+02,1.875751735423636717e+02
