# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,3.935520707284433684e+01,2.467546919405113892e-01,1.716428767230471308e+01,1.102884354328890879e+02,1.134704512472782767e+02,2.237588866801673646e+02,5.447891640324427698e+01,3.386421868398362989e+01,2.576231053641510016e+02
3.652500000000000000e+05,3.954645484499440045e+01,2.517022546423796636e-01,1.715849379998502400e+01,1.101976546609855063e+02,1.135083454184768357e+02,2.237060000794623420e+02,6.922411647542564594e+01,4.419132550414950344e+01,2.678973255836118597e+02
7.305000000000000000e+05,3.981567875261755773e+01,2.524426741093436233e-01,1.711474192460773125e+01,1.100981859877186224e+02,1.150186985911868049e+02,2.251168845789054274e+02,7.909291545440174787e+01,5.195299924684005077e+01,2.770698838257454781e+02
1.095750000000000000e+06,3.953565678726346988e+01,2.475636409481924427e-01,1.716662078919608803e+01,1.100899265730505050e+02,1.139562182460965118e+02,2.240461448191470026e+02,8.974528040315360045e+01,6.169238552818515586e+01,2.857385303473321869e+02
1.461000000000000000e+06,3.935593161243244964e+01,2.502087155509617467e-01,1.718361477422062578e+01,1.100478690114844937e+02,1.126701886028359638e+02,2.227180576143204576e+02,9.958603513577277511e+01,7.070948760091103225e+01,2.934275452152314756e+02
1.826250000000000000e+06,3.963264481998540134e+01,2.508168736306721214e-01,1.713271545292120379e+01,1.098451320596497709e+02,1.143758743030576284e+02,2.242210063627074135e+02,1.066660504446540614e+02,7.786165097580347094e+01,3.020826573385108986e+02
2.191500000000000000e+06,3.966916235455333606e+01,2.458305573115305009e-01,1.715358683951954788e+01,1.098307976585989110e+02,1.147175610783839232e+02,2.245483587369828058e+02,1.154483779531485368e+02,8.807946970199246550e+01,3.126278284389752571e+02
2.556750000000000000e+06,3.934916820649787184e+01,2.483355306632502035e-01,1.718308986847026176e+01,1.098554713344820186e+02,1.129763753825435657e+02,2.228318467170255701e+02,1.265414121874562738e+02,1.010397627818111772e+02,3.238716094988367331e+02
2.922000000000000000e+06,3.941737004612543416e+01,2.494820598418925339e-01,1.715212122436875219e+01,1.095450396013690977e+02,1.140179052394080088e+02,2.235629448407771065e+02,1.361813102636444626e+02,1.134592431875024801e+02,3.370221880282795723e+02
3.287250000000000000e+06,3.962885474018268894e+01,2.421377207948285093e-01,1.715371629270069675e+01,1.094345211555806685e+02,1.151667657534647731e+02,2.246012869090454558e+02,1.466620495190175006e+02,1.287793814017257148e+02,3.533806683107711137e+02
3.652500000000000000e+06,3.941383112388214016e+01,2.429226110912467429e-01,1.715599424093019465e+01,1.095986336419839802e+02,1.135030757785976334e+02,2.231017094205816136e+02,1.608094271857171407e+02,1.497967415522008992e+02,1.289845097278251096e+01
