# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,9.526418906438404832e+00,5.518372640471495838e-02,2.487885929710029309e+00,1.135612272808078984e+02,3.376822077262751804e+02,9.124343500708310728e+01,1.210900485886856757e+02,1.155588938044814284e+02,2.068023288115645357e+02
3.652500000000000000e+05,9.578640073557304291e+00,5.152145052134606690e-02,2.506827443597258842e+00,1.109953564490755866e+02,3.505541544860150225e+02,1.015495109350905949e+02,9.077325501585822565e+01,8.486940374445094903e+01,1.864189146795415581e+02
7.305000000000000000e+05,9.544042868925428635e+00,4.708053879160468275e-02,2.521396616132143720e+00,1.083803984799675248e+02,3.555075003896591852e+02,1.038878988696267385e+02,6.742700269841284921e+01,6.251353838811700570e+01,1.664014372577437371e+02
1.095750000000000000e+06,9.544154843104022845e+00,4.485076450777555901e-02,2.522547958824567615e+00,1.057244371110320031e+02,3.579950481637743209e+00,1.093043875926697552e+02,3.965892592415834628e+01,3.646227937998062885e+01,1.457666669726503699e+02
1.461000000000000000e+06,9.585124753306033085e+00,4.361328713447253785e-02,2.516266146699125628e+00,1.030909658311763479e+02,1.441358716320454469e+01,1.175045529943808873e+02,9.217961126124670557e+00,8.442514386807529192e+00,1.259470673811884183e+02
1.826250000000000000e+06,9.522608707469526479e+00,3.538502094413620985e-02,2.501825820176140969e+00,1.004586380028588621e+02,2.319370461517911153e+01,1.236523426180379772e+02,-1.960901516921734711e+01,3.417184674000367295e+02,1.053708100180747209e+02
2.191500000000000000e+06,9.566396724635911397e+00,3.398178784875616198e-02,2.475678114599737967e+00,9.785147942437929203e+01,2.547690478226304478e+01,1.233283842066423261e+02,-4.076272503423746230e+01,3.217313339468756794e+02,8.505971815351804821e+01
2.556750000000000000e+06,9.574679066022568463e+00,3.145649169917385385e-02,2.440764508512536679e+00,9.523564655514525157e+01,3.838584963996863308e+01,1.336214961951139060e+02,-7.201584046744733314e+01,2.913873717491727007e+02,6.500886794428657822e+01
2.922000000000000000e+06,9.517988873640144121e+00,2.620028362618237808e-02,2.400590283189477425e+00,9.264499832106272947e+01,5.561042010272760194e+01,1.482554184237903314e+02,-1.065110686901614088e+02,2.563833115172045041e+02,4.463872994099484970e+01
3.287250000000000000e+06,9.585708201788312621e+00,1.946252489518549705e-02,2.348331486817235358e+00,9.009909881321291891e+01,6.218331184171687909e+01,1.522824106549298051e+02,-1.296865581037833408e+02,2.320457896106538556e+02,2.432820026558366422e+01
3.652500000000000000e+06,9.548306685328993737e+00,1.853345801430288792e-02,2.290996667013862176e+00,8.767780252747978409e+01,7.613180578545247101e+01,1.638096083129322551e+02,-1.603213115675189897e+02,2.004033263179860000e+02,4.212934630918277357e+00
4.017750000000000000e+06,9.535802833389734445e+00,1.741906246307382486e-02,2.226324232602080677e+00,8.522524590052567817e+01,1.028333389419343291e+02,1.880585848424600215e+02,1.566691238299094664e+02,1.558690171225480015e+02,3.439276019650080229e+02
4.383000000000000000e+06,9.585338817722680815e+00,1.335229616720773164e-02,2.152352067205675290e+00,8.307272248833744754e+01,1.347827281777274777e+02,2.178554506660649395e+02,1.071104004194232431e+02,1.056437810563057411e+02,3.234992317223706664e+02
4.748250000000000000e+06,9.532722257454846471e+00,1.372112090263987241e-02,2.073422023593380459e+00,8.096495022701078881e+01,1.472334418492171153e+02,2.281983920762278899e+02,7.686578310163110928e+01,7.533820834429518243e+01,3.035366004205230297e+02
5.113500000000000000e+06,9.560061137495194927e+00,1.621708641341333343e-02,1.981047676611157105e+00,7.900757853114576790e+01,1.729142410201503992e+02,2.519218195512961813e+02,3.196079168384327573e+01,3.098717023477298582e+01,2.829089897860691849e+02
5.478750000000000000e+06,9.583467392097123394e+00,2.107848388245803922e-02,1.884692120524061210e+00,7.730448617712043813e+01,1.969380885121618121e+02,2.742425746892822644e+02,-1.174968702028853507e+01,3.487346681536054689e+02,2.629772428428877902e+02
5.844000000000000000e+06,9.522807024606395387e+00,1.857787522320440005e-02,1.782055799273486008e+00,7.568011977124071166e+01,2.168212460838768152e+02,2.925013658551175126e+02,-5.162881682601096855e+01,3.100258434062363904e+02,2.425272092613539314e+02
6.209250000000000000e+06,9.578427135676532700e+00,2.311597821282955489e-02,1.671933289191231520e+00,7.442710368239588092e+01,2.157750750809522344e+02,2.902021787633481154e+02,-7.076276522912593236e+01,2.917238119352547869e+02,2.219259906986028454e+02
6.574500000000000000e+06,9.572605416316285698e+00,2.744874598407267413e-02,1.557315604183505675e+00,7.330944263991041510e+01,2.318943294870222189e+02,3.052037721269326198e+02,-1.061731858146558238e+02,2.568647855702357674e+02,2.020685576971683872e+02
6.939750000000000000e+06,9.525379547921327017e+00,3.254122295169863816e-02,1.441501619152553371e+00,7.257343383566426098e+01,2.483791718552677139e+02,3.209526056909319891e+02,-1.419369758261984202e+02,2.204068152293791627e+02,1.813594209203111234e+02
7.305000000000000000e+06,9.583116732529481041e+00,3.182891078160014764e-02,1.323657350381504560e+00,7.237364618738500610e+01,2.559299628990980864e+02,3.283036090864831067e+02,-1.679745214814585381e+02,1.928035012509251658e+02,1.611071103374082156e+02
7.670250000000000000e+06,9.550984596447445796e+00,3.858677915975732703e-02,1.209288965039520658e+00,7.272446394794221192e+01,2.608656233594416562e+02,3.335900873073838397e+02,1.680785535326690479e+02,1.671386303227932615e+02,1.407287176301771296e+02
8.035500000000000000e+06,9.534247295647043430e+00,4.394446192590635569e-02,1.097255632222901234e+00,7.382791778834457830e+01,2.695342489098082979e+02,3.433621666981528620e+02,1.401466064715566517e+02,1.368365282455764316e+02,1.201986949437293362e+02
8.400750000000000000e+06,9.589138177933891782e+00,4.545957174931705702e-02,9.943918098029701502e-01,7.628692345922557649e+01,2.760990995307682851e+02,3.523860229899938759e+02,1.123142101439423328e+02,1.074333557734436084e+02,9.981937876343748428e+01
8.766000000000000000e+06,9.526664152256387297e+00,5.014358270508877113e-02,9.002544593891622648e-01,7.989471800030922566e+01,2.748818721957331945e+02,3.547765901960423776e+02,9.024818121366290313e+01,8.450367702510574475e+01,7.928026722114810809e+01
9.131250000000000000e+06,9.560883450821824781e+00,5.568655079969530436e-02,8.192265948424293232e-01,8.535992908833043202e+01,2.765338482761696355e+02,1.893777364500098370e+00,6.234379061264471744e+01,5.680159710115788130e+01,5.869537446565797723e+01
9.496500000000000000e+06,9.580979119362888596e+00,5.933063100918738175e-02,7.640152991934184845e-01,9.240101602758518595e+01,2.783733105063645326e+02,1.077432653394968654e+01,3.093539001609617500e+01,2.756990823187161510e+01,3.834423476582130519e+01
9.861750000000000000e+06,9.517497356308679102e+00,5.865344836904778231e-02,7.297826871482037125e-01,1.008406769714984819e+02,2.714784717383585075e+02,1.231914870985699473e+01,6.110872787980125231e+00,5.425525870726356281e+00,1.774467458058335012e+01
1.022700000000000000e+07,9.584891413607010691e+00,6.607776838103533723e-02,7.326239379940643337e-01,1.098131539844588218e+02,2.662788526342117734e+02,1.609200661867061655e+01,-2.192834469026078636e+01,3.407741514778111878e+02,3.568661580964817972e+02
1.059225000000000000e+07,9.558593833704144060e+00,6.789523915222554773e-02,7.609364608178524891e-01,1.182578240033330133e+02,2.648701805777252503e+02,2.312800458105831680e+01,-5.233222220337865593e+01,3.136369894124695179e+02,3.367649939935278098e+02
1.095750000000000000e+07,9.532119597164641078e+00,6.812497389485590304e-02,8.209012489449198924e-01,1.254789913197907083e+02,2.643999116171956985e+02,2.987890293698643163e+01,-8.164835774692585346e+01,2.860126697532862750e+02,3.158915726902726533e+02
1.132275000000000000e+07,9.577228181196410617e+00,7.007093607896343335e-02,9.002149941300978675e-01,1.308301079585893660e+02,2.612910574583372636e+02,3.212116541692663674e+01,-1.046409824646807465e+02,2.632261823656377828e+02,2.953473477825643840e+02
1.168800000000000000e+07,9.533394666677645901e+00,7.382932222429186564e-02,9.937861081744643332e-01,1.347477777348310610e+02,2.650333701353736728e+02,3.978114787020469834e+01,-1.314996444128783537e+02,2.350737020990684982e+02,2.748548499692731752e+02
1.205325000000000000e+07,9.546289337438272682e+00,7.296528788666889476e-02,1.098952453384415273e+00,1.371008718378286062e+02,2.682275882997884651e+02,4.532846013761709969e+01,-1.551099960426729751e+02,2.085913203721976572e+02,2.539197805098147569e+02
1.241850000000000000e+07,9.576474097180856404e+00,7.306335229413396526e-02,1.210198504341980952e+00,1.383938018340042788e+02,2.709193239835819327e+02,4.931312581758621150e+01,-1.763654924892633460e+02,1.841957797879406371e+02,2.335089056055268202e+02
1.278375000000000000e+07,9.521223052034384793e+00,7.883862772944551234e-02,1.323495317037047592e+00,1.389809753154110297e+02,2.755682668173229786e+02,5.454924213273397982e+01,1.612041871049017914e+02,1.581221210758999973e+02,2.126713632086339771e+02
1.314900000000000000e+07,9.563109684435032065e+00,7.828563091581677846e-02,1.438687199401252004e+00,1.388044879361828521e+02,2.833687946554292694e+02,6.217328259161212856e+01,1.360640057017622837e+02,1.295692177398811396e+02,1.917425003314932610e+02
1.351425000000000000e+07,9.569258911187526806e+00,7.769587748242889891e-02,1.549981746255608916e+00,1.380820750666649133e+02,2.889830051498585135e+02,6.706508021652344098e+01,1.125415151676696723e+02,1.041382880327331577e+02,1.712033682492566129e+02
1.387950000000000000e+07,9.515684013599829072e+00,8.125642206462557748e-02,1.660838001743554893e+00,1.371221250424291327e+02,2.922256736989760384e+02,6.934779874140521372e+01,9.017952874539079744e+01,8.087675547708070667e+01,1.502245542184859346e+02
1.424475000000000000e+07,9.585839740186125724e+00,8.479415740955018044e-02,1.764638736663530549e+00,1.356381425980226254e+02,3.016713270299062515e+02,7.730946962792886268e+01,6.011671541333585367e+01,5.195887953907882917e+01,1.292683491670076705e+02
1.461000000000000000e+07,9.550204383326649449e+00,8.257388968490707304e-02,1.863935051777832808e+00,1.340395479616511523e+02,3.078854389768206943e+02,8.192498693847183233e+01,3.133210204028537049e+01,2.666190070941289392e+01,1.085868876478847227e+02
1.497525000000000000e+07,9.533902094635813285e+00,8.165735815026438360e-02,1.962421323044819976e+00,1.321147555267591827e+02,3.138851464376313061e+02,8.599990196439051715e+01,1.828650561843879752e+00,1.547405467856890038e+00,8.754730743224742184e+01
1.534050000000000000e+07,9.586193342958072350e+00,8.491529156551951008e-02,2.049803227830892194e+00,1.300403480429829699e+02,3.211884137377864477e+02,9.122876178076941756e+01,-2.881317458027885792e+01,3.356258086133107099e+02,6.685457039408015589e+01
1.570575000000000000e+07,9.521803005177288171e+00,8.072416051113320834e-02,2.135496346383131350e+00,1.279330061815925603e+02,3.299916420470844969e+02,9.792464822867707142e+01,-5.986990168135430679e+01,3.078875577473655767e+02,4.581220597604265521e+01
1.607100000000000000e+07,9.563302128749404218e+00,7.906081774645520865e-02,2.211225606244620945e+00,1.255920777404114972e+02,3.348047470506826926e+02,1.003968247910941471e+02,-8.464219317525646602e+01,2.843189825627922573e+02,2.471580735388640093e+01
1.643625000000000000e+07,9.578136989234868892e+00,7.944695027690726330e-02,2.282463872159799401e+00,1.232640971950437603e+02,3.421106805317091357e+02,1.053747777267529244e+02,-1.100170182689581537e+02,2.587064748667237382e+02,4.081252593476659030e+00
1.680150000000000000e+07,9.521284371480705389e+00,7.867264308374948001e-02,2.346216263698711391e+00,1.208745142288116199e+02,3.530546802133843585e+02,1.139291944421959357e+02,-1.372695520128765168e+02,2.291205091056515357e+02,3.430497035478475141e+02
1.716675000000000000e+07,9.580084825903318446e+00,7.266794392801494140e-02,2.397390844528845211e+00,1.184194932300657968e+02,2.380274759302082599e-01,1.186575207059960064e+02,-1.597711287705094776e+02,2.032621862351705886e+02,3.219197069411665666e+02
1.753200000000000000e+07,9.558221380270996548e+00,7.182956259936534860e-02,2.440846559439164842e+00,1.159544267628130001e+02,7.349707297959031216e+00,1.233041340607720286e+02,1.782770094933236464e+02,1.780155165326064832e+02,3.013196505933785261e+02
1.789725000000000000e+07,9.534710057820774409e+00,7.281157865481691083e-02,2.475711028760468668e+00,1.134423711619461841e+02,1.683548225521551345e+01,1.302778534171617082e+02,1.538393490229752274e+02,1.499727921620368534e+02,2.802506455791985331e+02
1.826250000000000000e+07,9.583293998197438768e+00,6.719295718374999893e-02,2.496121150137159628e+00,1.108686021964058455e+02,2.745681491977264344e+01,1.383254171161784996e+02,1.272900932140021837e+02,1.209751104403357402e+02,2.593005275565142256e+02
1.862775000000000000e+07,9.546393217079947036e+00,6.521415446263365001e-02,2.509433874286938870e+00,1.082581611495772478e+02,3.351766109698970553e+01,1.417758222465669462e+02,1.043328200267431072e+02,9.700871821532599881e+01,2.387845404618929592e+02
1.899300000000000000e+07,9.551049501318360058e+00,6.328491725026420822e-02,2.515474397558386421e+00,1.055497597328724027e+02,4.229665606912365661e+01,1.478464158019960735e+02,7.680310977524321459e+01,6.982288252337424694e+01,2.176692983253703062e+02
