# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,1.923645004355873311e+01,4.534171811437554683e-02,7.722847768194887053e-01,7.395285550682524445e+01,9.458271785238638074e+01,1.685355733592116110e+02,-1.618309578314024009e+02,1.998430520122213920e+02,8.378625371433033209e+00
3.652500000000000000e+05,1.912970255477528525e+01,5.131847122276202849e-02,7.567628018913238330e-01,7.471987633712087984e+01,1.000116116170500220e+02,1.747314879541709161e+02,1.612926344104305656e+02,1.593355044585116218e+02,3.340669924126825663e+02
7.305000000000000000e+05,1.927722943220277685e+01,4.351707823807868941e-02,7.406985923512148240e-01,7.575939495571452653e+01,1.066379175859714650e+02,1.823973125416859773e+02,1.212608625407345926e+02,1.169258761535662643e+02,2.993231886952522700e+02
1.095750000000000000e+06,1.915419137033813257e+01,4.242331589417057403e-02,7.256628482085265563e-01,7.654174042822023694e+01,9.620949469598257053e+01,1.727512351242028217e+02,9.537491355595034292e+01,9.052191703992774308e+01,2.632731521641305790e+02
1.461000000000000000e+06,1.923454151266331280e+01,4.786318590219007518e-02,7.099960212331313247e-01,7.772863212563214574e+01,9.713710186214879627e+01,1.748657339877809704e+02,5.647301246425112708e+01,5.199108200148187109e+01,2.268568159892628273e+02
1.826250000000000000e+06,1.925212279787987413e+01,5.034934472338285782e-02,6.998293438595089011e-01,7.870142636581181250e+01,1.006276953445651685e+02,1.793291217103769952e+02,1.471712823406091708e+01,1.330328049036537941e+01,1.926324022007423764e+02
2.191500000000000000e+06,1.915588625562269343e+01,4.343284396333715186e-02,6.869460920848943219e-01,7.994365685842741698e+01,1.000414794507568388e+02,1.799851363091842700e+02,-2.380489275677946992e+01,3.381455198794906210e+02,1.581306561886749193e+02
2.556750000000000000e+06,1.931590303620098226e+01,4.595034158695550375e-02,6.780006278303027933e-01,8.113525174897262104e+01,9.256563460592279569e+01,1.737008863548954309e+02,-5.545698745646740235e+01,3.087959047539664539e+02,1.224967911088618564e+02
2.922000000000000000e+06,1.916813332599735276e+01,4.401230066775999733e-02,6.673866435440602984e-01,8.232831248619046960e+01,9.706256348471112005e+01,1.793908759709015897e+02,-9.819302175037709901e+01,2.668209318092885383e+02,8.621180778019014213e+01
3.287250000000000000e+06,1.926763833511090951e+01,4.250458371135444613e-02,6.572408500469164583e-01,8.368295478513587682e+01,9.250805908064594973e+01,1.761910138657818266e+02,-1.292738068331136674e+02,2.345735055158037881e+02,5.076451938158562882e+01
3.652500000000000000e+06,1.923366566511626274e+01,4.429808945161924777e-02,6.523465028681743050e-01,8.491647206842219475e+01,9.614653200802284516e+01,1.810630040764450541e+02,-1.652783707741095895e+02,1.960542575497644293e+02,1.711726162620947633e+01
4.017750000000000000e+06,1.918895037927460834e+01,4.374590305767055154e-02,6.437604280900900422e-01,8.625909483026266855e+01,9.948411460681553820e+01,1.857432094370782067e+02,1.578062230153545897e+02,1.558536004423789620e+02,3.415968098794571688e+02
4.383000000000000000e+06,1.931379735186467883e+01,3.903953167068395513e-02,6.406877972073018457e-01,8.771503729232405533e+01,1.008569258912216071e+02,1.885719631835456767e+02,1.207898516322700146e+02,1.168891588610570977e+02,3.054611220446027460e+02
4.748250000000000000e+06,1.915626620126242941e+01,4.418440763155775941e-02,6.329624674450047284e-01,8.889370650522310768e+01,9.032802137572490153e+01,1.792217278809480092e+02,9.557114097119288942e+01,9.051727120403292304e+01,2.697389990849808896e+02
5.113500000000000000e+06,1.928372883134275639e+01,5.006614336718111236e-02,6.307044893342268477e-01,9.029406285855462500e+01,9.889734952775815202e+01,1.891914123863127770e+02,5.038062606903719143e+01,4.606599379640233849e+01,2.352574061827151297e+02
5.478750000000000000e+06,1.922756709025467359e+01,4.548052468578654695e-02,6.279829115548231089e-01,9.143917993096687269e+01,1.002841485692928103e+02,1.917233285002596972e+02,1.020107491528739807e+01,9.308175063343343325e+00,2.010315035636030245e+02
5.844000000000000000e+06,1.919516857422385669e+01,4.187579507105446130e-02,6.249473585128851871e-01,9.274081698829274956e+01,9.259016820299787298e+01,1.853309851912906083e+02,-2.250413644454971163e+01,3.392804957307792506e+02,1.646114809220699158e+02
6.209250000000000000e+06,1.928249291432228674e+01,4.708296792207043030e-02,6.241633536734271237e-01,9.402204879351040745e+01,8.741578239926904814e+01,1.814378311927794414e+02,-5.713967226557746670e+01,3.073058289033136816e+02,1.287436600960930946e+02
6.574500000000000000e+06,1.912967264930183475e+01,4.702886420055981537e-02,6.198196825327670911e-01,9.510023004762697951e+01,9.641852425235109081e+01,1.915187542999780703e+02,-1.030789344518749147e+02,2.622107186359884849e+02,9.372947293596652685e+01
6.939750000000000000e+06,1.927356427575944409e+01,4.199808586155724666e-02,6.204244089049232302e-01,9.645498126142054218e+01,9.271228763216097946e+01,1.891672688935815074e+02,-1.332150606162575457e+02,2.303688966844008519e+02,5.953616557798234510e+01
7.305000000000000000e+06,1.916966414265081653e+01,4.407570863113612764e-02,6.198796536792529066e-01,9.713189063814252222e+01,9.336825130457886246e+01,1.905001419427213705e+02,-1.673225976368743773e+02,1.938226318256716354e+02,2.432277376839301652e+01
7.670250000000000000e+06,1.918648552768936710e+01,4.324174017098195155e-02,6.194308609664359588e-01,9.851856693592037573e+01,9.325267782008793915e+01,1.917712447560082865e+02,1.577315003290916877e+02,1.557959377784502522e+02,3.475671825344585386e+02
8.035500000000000000e+06,1.925195028457881463e+01,4.277694894181208879e-02,6.192376046280257951e-01,9.935833042332994580e+01,9.481264645784622758e+01,1.941709768811761592e+02,1.224176915322300516e+02,1.182083542678157926e+02,3.123793311489919802e+02
8.400750000000000000e+06,1.911401501287430804e+01,4.679204617554875989e-02,6.152597808731528062e-01,1.003975009449719096e+02,9.124312367943547031e+01,1.916406246244073657e+02,9.186407028786919682e+01,8.650076786726592104e+01,2.781413924916732867e+02
8.766000000000000000e+06,1.927448214388798675e+01,4.652612691464603351e-02,6.166352578314214794e-01,1.013093543116311821e+02,9.928279381916264867e+01,2.005921481307938450e+02,4.646715845252111166e+01,4.269360375518278516e+01,2.432857518859766230e+02
9.131250000000000000e+06,1.915933532443031240e+01,4.035236761158846053e-02,6.161690786898347261e-01,1.020104008905162658e+02,9.522316619946801097e+01,1.972335670899842910e+02,1.080643020850196834e+01,9.964584234443806920e+00,2.071981513244280961e+02
9.496500000000000000e+06,1.921875190908923159e+01,4.484538819589344028e-02,6.149790418934211189e-01,1.032064669168418476e+02,8.954251584802318575e+01,1.927489827648650476e+02,-2.398811665155380624e+01,3.380384725605637755e+02,1.707874553254287946e+02
9.861750000000000000e+06,1.923824246009504080e+01,4.905890752052025072e-02,6.132264483703447899e-01,1.038187467795921748e+02,9.295506168076539666e+01,1.967738084603575714e+02,-6.507298019043656723e+01,2.999454344213947934e+02,1.367192428817523933e+02
1.022700000000000000e+07,1.914454251671519103e+01,4.393419667519841282e-02,6.075542856833989758e-01,1.049526516772971121e+02,1.007737485411384313e+02,2.057264002184355434e+02,-1.083196808794439789e+02,2.565081999637571357e+02,1.022346001821927359e+02
1.059225000000000000e+07,1.929628569216892586e+01,3.771922866834537258e-02,6.099369019980580564e-01,1.056164808920010358e+02,9.194960966220867249e+01,1.975660905542096941e+02,-1.343142289205192412e+02,2.288402959755847235e+02,6.640638652979440337e+01
1.095750000000000000e+07,1.915756933768741987e+01,4.491205146550311667e-02,6.057511094957012121e-01,1.065825615018865022e+02,9.419357408365512185e+01,2.007761355855416241e+02,-1.713983327715377243e+02,1.893978249896401564e+02,3.017396057518177699e+01
1.132275000000000000e+07,1.925367444411359230e+01,4.426636094837002600e-02,6.045518219675367622e-01,1.076741806316977232e+02,9.862363683044593188e+01,2.062978174621436267e+02,1.510537060329173755e+02,1.485256089175669558e+02,3.548234263797105541e+02
1.168800000000000000e+07,1.925035793200270362e+01,4.284538191957175390e-02,5.994041838532148114e-01,1.085465530269413392e+02,1.016384524522162280e+02,2.101850054791575531e+02,1.155486432088924573e+02,1.110579683496243888e+02,3.212429738287819418e+02
1.205325000000000000e+07,1.917589710886335652e+01,4.316399635812402658e-02,5.950622646244119185e-01,1.097013457035343293e+02,9.814913886448880476e+01,2.078504845680231199e+02,8.263025026576374898e+01,7.774666558232419789e+01,2.855971501503473178e+02
1.241850000000000000e+07,1.932160435413143773e+01,4.614855038270941623e-02,5.962041095378506350e-01,1.106519152697858601e+02,1.020522355486132398e+02,2.127041508183990857e+02,4.002482502518957830e+01,3.671241914392631145e+01,2.494165699623254113e+02
1.278375000000000000e+07,1.915930509739714793e+01,4.277208324912216975e-02,5.905223155770229493e-01,1.118535570272660351e+02,9.549312980922273653e+01,2.073466868364887716e+02,7.058067903548463029e+00,6.474470004804169676e+00,2.138211568412929466e+02
