# t,a,e,i,Omega,omega,varpi,f,M,lam
0.000000000000000000e+00,7.233233080103672608e-01,6.773868799627704926e-03,3.394668949970260918e+00,7.664409568402066952e+01,5.510650295292372647e+01,1.317505986369444031e+02,-1.405079650788362944e+00,3.586138578583744447e+02,1.303644564953188763e+02
3.652500000000000000e+05,7.233310817788105584e-01,6.353479062914036378e-03,3.382673372148673696e+00,7.383666249542103799e+01,5.757741009602686688e+01,1.314140725914479049e+02,1.772752803310874299e+02,1.772405050510767239e+02,3.086545776425246004e+02
7.305000000000000000e+05,7.233288138759457198e-01,5.931522762092786283e-03,3.364290635428240250e+00,7.100315869787063150e+01,5.975644670460783914e+01,1.307596054024784848e+02,-3.859778382706718691e+00,3.561857734332859309e+02,1.269453788357644726e+02
1.095750000000000000e+06,7.233370387592981121e-01,5.495466644978940114e-03,3.339538299156599166e+00,6.813578180275924012e+01,6.216870294241999062e+01,1.303044847451792236e+02,1.749867345774826504e+02,1.749314776211139417e+02,3.052359623662931654e+02
1.461000000000000000e+06,7.233268488825274067e-01,5.132624015226822101e-03,3.308516587371438611e+00,6.523481131197318916e+01,6.438347820228733553e+01,1.296182895142605389e+02,-6.154306778532230737e+00,3.539085067823284589e+02,1.235267962965889694e+02
1.826250000000000000e+06,7.233310092247857703e-01,4.826377301126495885e-03,3.271545334738266586e+00,6.230033919370731610e+01,6.582255298229358687e+01,1.281228921760009030e+02,1.737562515628520430e+02,1.736958842728165280e+02,3.018187764488174594e+02
2.191500000000000000e+06,7.233256582888453190e-01,4.519421701745979063e-03,3.228360686783082301e+00,5.932430754053473976e+01,6.677477290658522691e+01,1.260990804471199596e+02,-6.042794007237970888e+00,3.540115414360586783e+02,1.201106218831786663e+02
2.556750000000000000e+06,7.233356939490324100e-01,4.215130558815453204e-03,3.179170960367380339e+00,5.631147340745619090e+01,6.718583289451741791e+01,1.234973063019736088e+02,1.749489047343198820e+02,1.749062435176425083e+02,2.984035498196161598e+02
2.922000000000000000e+06,7.233243805833049489e-01,3.978578633403681043e-03,3.124579271285097271e+00,5.325297231433177814e+01,6.810014787364777078e+01,1.213531201879795418e+02,-4.695819711748319136e+00,3.553413931388587343e+02,1.166945133268383046e+02
3.287250000000000000e+06,7.233300417540099447e-01,3.820176627460732024e-03,3.064449822014504221e+00,5.014873163804746525e+01,6.851605642754770997e+01,1.186647880655951752e+02,1.763531924859805997e+02,1.763252685795407331e+02,2.949900566451358941e+02
3.652500000000000000e+06,7.233328228766604528e-01,3.688560987477487382e-03,2.999117195465081043e+00,4.699225488209579282e+01,6.821288545039111284e+01,1.152051403324868915e+02,-1.937416050226077768e+00,3.580768343600784647e+02,1.132819746925653135e+02
4.017750000000000000e+06,7.233264190983962338e-01,3.580883912235850643e-03,2.928823879835806387e+00,4.377604795379978242e+01,6.754593483513275487e+01,1.113219827889325444e+02,-1.797464031858825706e+02,1.802554179658139333e+02,2.915774007547464635e+02
4.383000000000000000e+06,7.233280382674158737e-01,3.469560778013597128e-03,2.853513680528507290e+00,4.049567804691654516e+01,6.787710869049843154e+01,1.083727867374149838e+02,1.507858965559744302e+00,1.497424098403383308e+00,1.098702108358183693e+02
4.748250000000000000e+06,7.233312358187303781e-01,3.430033241711046444e-03,2.773754512916159598e+00,3.715202689955563642e+01,6.819035821436216338e+01,1.053423851139177998e+02,-1.771964429204399778e+02,1.828228315027878921e+02,2.881652166167056635e+02
5.113500000000000000e+06,7.233283839389053060e-01,3.457757695237605004e-03,2.690004821353884967e+00,3.372830355272860459e+01,6.820550784017180490e+01,1.019338113929004095e+02,4.558795912801433481e+00,4.527383973474291778e+00,1.064611953663746959e+02
5.478750000000000000e+06,7.233296925125508592e-01,3.504956179152420373e-03,2.602241391902514245e+00,3.021726914362511351e+01,6.850977605146913163e+01,9.872704519509424870e+01,-1.740098586824538529e+02,1.860321650624574374e+02,2.847592102575516719e+02
5.844000000000000000e+06,7.233270985241432305e-01,3.493456683639606548e-03,2.510897912584380887e+00,2.660541490814517829e+01,6.923145511235763649e+01,9.583687002050280057e+01,7.264938706957758008e+00,7.214446383642531657e+00,1.030513164041453393e+02
6.209250000000000000e+06,7.233265750239337155e-01,3.561793610354050017e-03,2.416315129380928184e+00,2.287928765676134901e+01,7.103149635690920150e+01,9.391078401367053630e+01,-1.726134098344589063e+02,1.874392028860293067e+02,2.813499868996998430e+02
